Tipo de Arquivo,Nome,Título,Legenda,Local,Data,Tipo,Fotógrafo,Notas,Créditos,Fonte,Tipo de Licença,Formato,Resolução Horizontal,Resolução Vertical,Dimensões da Foto,Dimensões do Objeto,Link
Imagem,Daniela_010,Seleção Brasileira Sub-19 e comissão técnica posam para foto antes de jogo,Seleção Brasileira de Futebol Feminino Sub-19 e comissão técnica posam para foto antes de jogo.,Canadá,2002,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3407 x 2367,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726963,Sele%C3%A7%C3%A3o%20Brasileira%20Sub-19%20e%20comiss%C3%A3o%20t%C3%A9cnica%20posam%20para%20foto%20antes%20de%20jogo"
Imagem,Daniela_011,"Seleção Brasileira de Futebol Feminino posa para foto, 2004","Jogadoras da Seleção Brasileira Feminina de Futebol posam para foto. Jogos Olímpicos de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1787 x 1169,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726976,Sele%C3%A7%C3%A3o%20Brasileira%20de%20Futebol%20Feminino%20posa%20para%20foto,%202004"
Imagem,Daniela_012,"Dani Alves após a receber a medalha de prata em Atenas, 2004","Daniela Alves posa para foto após a receber a medalha de prata dos Jogos Olímpicos de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2345 x 3544,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726991,Dani%20Alves%20ap%C3%B3s%20a%20receber%20a%20medalha%20de%20prata%20em%20Atenas,%202004"
Imagem,Daniela_013,"Daniela Alves durante passeio em Atenas, 2004","Jogadora da Seleção Brasileira, Dani Alves visita o Parthenon durante os Jogos Olímpicos de Atenas.","Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1713 x 1182,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727006,Daniela%20Alves%20durante%20passeio%20em%20Atenas,%202004"
Imagem,Daniela_014,"Maicon, Juliana Cabral, Tânia Maranhão e Daniela Alves do São Paulo","As jogadoras Maicon, Ju Cabral, Tânia Maranhão e Daniela Alves do São Paulo Futebol Clube.","São Paulo, SP",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1690 x 1204,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727020,Maicon,%20Juliana%20Cabral,%20T%C3%A2nia%20Maranh%C3%A3o%20e%20Daniela%20Alves%20do%20S%C3%A3o%20Paulo"
Imagem,Daniela_015,Dani Alves autografa chuteira,"A jogadora Daniela Alves autografa uma chuteira após retorno da Seleção Brasileira dos Jogos Olímpicos de Atenas, 2004. ","São Paulo, SP",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3407,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727037,Dani%20Alves%20autografa%20chuteira"
Imagem,Daniela_016,Dani Alves posa para foto com troféu e medalha,"Jogadora da Seleção Brasileira de Futebol, Daniela Alves posa para fotografia com troféu e medalha.",0,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2379 x 3350,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727051,Dani%20Alves%20posa%20para%20foto%20com%20trof%C3%A9u%20e%20medalha"
Imagem,Daniela_017,"Seleção Brasileira Feminina posa para foto, 2004",Jogadoras da Seleção Brasileira e equipe técnica posam para foto.,"Atenas, Grécia",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1768 x 1176,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727064,Sele%C3%A7%C3%A3o%20Brasileira%20Feminina%20posa%20para%20foto,%202004"
Imagem,Daniela_018,"Seleção Brasileira de Futebol Feminino posa para foto, 2002",Jogadoras e comissão técnica da Seleção Brasileira de Futebol Feminino posam para foto.,Canadá,2002,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1707 x 1199,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727079,Sele%C3%A7%C3%A3o%20Brasileira%20de%20Futebol%20Feminino%20posa%20para%20foto,%202002"
Imagem,Daniela_019,Daniela Alves posa para fotografia,"Jogadora da Seleção Brasileira, Daniela Alves posa para foto.",China,0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3555 x 2345,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727092,Daniela%20Alves%20posa%20para%20fotografia"
Imagem,Daniela_020,Dani Alves posa para foto durante homenagem,"Daniela Alves, jogadora da Seleção Brasileira de Futebol, posa para foto durante homenagem.","São Paulo, SP",2004,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Daniela Alves.,Acervo Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3407,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/727105,Dani%20Alves%20posa%20para%20foto%20durante%20homenagem"
Imagem,Ita_001,Ana Paula e Ita Maia posam para fotografia,"Ana Paula e Ita Maia, jogadoras do Elite Itaquerense, posam para fotografia.","São Paulo, SP",0,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Ita Maia Reis.,Acervo Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3669 x 3561,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726193,Ana%20Paula%20e%20Ita%20Maia%20posam%20para%20fotografia"
Imagem,Ita_002,"Equipe feminina do Elite Itaquerense, 1998","Equipe feminina do Elite Itaquerense, campeã do Torneio Sesc Itaquera de Futsal posa para fotografia. Novembro de 1998.","São Paulo, SP",1998,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Ita Maia Reis.,Acervo Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3583 x 2976,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726208,Equipe%20feminina%20do%20Elite%20Itaquerense,%201998"
Imagem,Ita_003,Time feminino do Elite Itaquerense,"Time feminino do Elite Itaquerense, campeão do torneio Sesc Itaquera de Futsal, posa para foto.","São Paulo, SP",1995,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Ita Maia Reis.,Acervo Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3188 x 2374,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726223,Time%20feminino%20do%20Elite%20Itaquerense"
Imagem,Ita_004,"Jogadora do Elite Itaquerense ergue taça, 1999","Jogadora do Elite Itaquerense ergue taça do Torneio Garra Feminino de Futsal, disputado no Sesc Itaquera em 1999. Na data, o equipe conquistou o tricampeonato.","São Paulo, SP",1999,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Ita Maia Reis.,Acervo Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3583 x 3389,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726238,Jogadora%20do%20Elite%20Itaquerense%20ergue%20ta%C3%A7a,%201999"
Imagem,Ita_005,"Soraia, capitã do Elite Itaquerense, ergue taça","Soraia, capitã do Elite Itaquerense, ergue a taça do Torneio Garra Feminino de Futsal, disputado no Sesc Itaquera em 1999. Na data, o time conquistou o tricampeonato.","São Paulo, SP",1999,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Ita Maia Reis.,Acervo Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3601 x 2391,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726253,Soraia,%20capit%C3%A3%20do%20Elite%20Itaquerense,%20ergue%20ta%C3%A7a"
Imagem,Ita_006,Jogadoras do Elite Itaquerense na final da Copa Elite de Futsal,Jogadoras recebem flores durante comemoração na final da Copa Elite de Futsal. Dezembro de 1999.,"São Paulo, SP",1999,Fotografia,Autor desconhecido,A fotografia integra o acervo do Museu do Futebol. Coleção pessoal Ita Maia Reis.,Acervo Ita Maia Reis | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3601 x 3251,0,"https://dados.museudofutebol.org.br/2d#/tipo:acervo/726268,Jogadoras%20do%20Elite%20Itaquerense%20na%20final%20da%20Copa%20Elite%20de%20Futsal"
