Tipo de Arquivo,Nome,Título,Local,Data,Tipo,Fotógrafo,Descrição,Créditos,Fonte,Tipo de Licença,Formato,Resolução Horizontal,Resolução Vertical,Dimensões da Foto,Dimensões do Objeto
Imagem,Dani136,"Jogadoras da Seleção Brasileira Feminina de Futebol posam para foto. Jogos Olímpicos de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1787 x 1169,0
Imagem,Dani137,"Dani Alves após a receber a medalha de prata nos Jogos Olímpicos de Atenas, 2004.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2345 x 3544,0
Imagem,Dani139,"Jogadora da Seleção Brasileira, Dani Alves visita o Partenon durante os Jogos Olímpicos de Atenas.","Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1713 x 1182,0
Imagem,Dani157,"As jogadoras Maicon, Ju Cabral, Tânia Maranhão e Daniela Alves do São Paulo Futebol Clube.","São Paulo, SP",0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1690 x 1204,0
Imagem,Dani158,"Dani Alves autografa chuteira após retorno da Seleção Brasileira dos Jogos Olímpicos de Atenas, 2004.","São Paulo, SP",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3407,0
Imagem,Dani159,"Jogadora da Seleção Brasileira de Futebol, Daniela Alves posa para fotografia com troféu e medalha.",0,0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2379 x 3350,0
Imagem,Dani172,Jogadoras da Seleção Brasileira e equipe técnica posam para foto.,"Atenas, Grécia",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1768 x 1176,0
Imagem,Dani193,Jogadoras e comissão técnica da Seleção Brasileira de Futebol Feminino posam para foto.,Canadá,2002,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,1707 x 1199,0
Imagem,Dani267,"Jogadora da Seleção Brasileira, Daniela Alves posa para foto.",China,0,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,3555 x 2345,0
Imagem,Dani300,"Daniela Alves, jogadora da Seleção Brasileira de Futebol, posa para foto durante homenagem.","São Paulo, SP",2004,Fotografia,Autor desconhecido.,A obra integra o acervo do Museu do Futebol. Coleção Daniela Alves.,Acervo Museu do Futebol | Coleção Daniela Alves | Direitos Reservados,Museu do Futebol,CC-BY-SA,TIFF,600 dpi,600 dpi,2367 x 3407,0
